nl_cmd,bash_cmd
"allow read and write for user, write and execute for group, and read for others on file <file-name>"," chmod 634 <file-name>"
"grant read and write access for user, write and execute for group, and read to others for <directory-name>","chmod 634 <directory-name>"
"allow read and write for user, write and execute for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 634 <directory-name>"
"grant read and write access for user, write and execute for group, and write to others for <file-name>"," chmod 632 <file-name>"
"provide read and write for user, write and execute to group, and write to others for <directory-name>","chmod 632 <directory-name>"
"allow read and write for user, write and execute for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 632 <directory-name>"
"set permissions to read and write for owner, write and execute for group members, and execute for others on <file-name>"," chmod 631 <file-name>"
"provide read and write for user, write and execute to group, and execute to others for <directory-name>","chmod 631 <directory-name>"
"grant read and write access for user, write and execute for group, and execute to others for <directory-name>","chmod 631 <directory-name>"
"grant read and write access for user, write and execute for group, and read and write to others for <file-name>"," chmod 636 <file-name>"
"assign read and write permission to user, write and execute permission to group, and read and write permission to others for <directory-name>","chmod 636 <directory-name>"
"grant read and write access for user, write and execute for group, and read and write to others for <directory-name>","chmod 636 <directory-name>"
"grant read and write access for user, write and execute for group, and read and execute to others for <file-name>"," chmod 635 <file-name>"
"assign read and write permission to user, write and execute permission to group, and read and execute permission to others for <directory-name>","chmod 635 <directory-name>"
"assign read and write permission to user, write and execute permission to group, and read and execute permission to others for <directory-name>","chmod 635 <directory-name>"
"provide read and write for user, write and execute to group, and write and execute to others for <file-name>"," chmod 633 <file-name>"
"allow read and write for user, write and execute for group, and write and execute for others on directory/folder <directory-name>","chmod 633 <directory-name>"
"assign read and write permission to user, write and execute permission to group, and write and execute permission to others for <directory-name>","chmod 633 <directory-name>"
"grant read and write access for user, write and execute for group, and all to others for <file-name>"," chmod 637 <file-name>"
"assign read and write permission to user, write and execute permission to group, and all permission to others for <directory-name>","chmod 637 <directory-name>"
"provide read and write for user, write and execute to group, and all to others for <directory-name>","chmod 637 <directory-name>"
"assign read and write permission to user, write and execute permission to group, and none permission to others for <file-name>"," chmod 630 <file-name>"
"set permissions to read and write for owner, write and execute for group members, and none for others on <directory-name>","chmod 630 <directory-name>"
"assign read and write permission to user, write and execute permission to group, and none permission to others for <directory-name>","chmod 630 <directory-name>"
"allow read and write for user, all for group, and read for others on file <file-name>"," chmod 674 <file-name>"
"grant read and write access for user, all for group, and read to others for <directory-name>","chmod 674 <directory-name>"
"allow read and write for user, all for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 674 <directory-name>"
"allow read and write for user, all for group, and write for others on file <file-name>"," chmod 672 <file-name>"
"set permissions to read and write for owner, all for group members, and write for others on <directory-name>","chmod 672 <directory-name>"
"allow read and write for user, all for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 672 <directory-name>"
"assign read and write permission to user, all permission to group, and execute permission to others for <file-name>"," chmod 671 <file-name>"
"provide read and write for user, all to group, and execute to others for <directory-name>","chmod 671 <directory-name>"
"set permissions to read and write for owner, all for group members, and execute for others on <directory-name>","chmod 671 <directory-name>"
"set permissions to read and write for owner, all for group members, and read and write for others on <file-name>"," chmod 676 <file-name>"
"assign read and write permission to user, all permission to group, and read and write permission to others for <directory-name>","chmod 676 <directory-name>"
"assign read and write permission to user, all permission to group, and read and write permission to others for <directory-name>","chmod 676 <directory-name>"
"allow read and write for user, all for group, and read and execute for others on file <file-name>"," chmod 675 <file-name>"
"provide read and write for user, all to group, and read and execute to others for <directory-name>","chmod 675 <directory-name>"
"assign read and write permission to user, all permission to group, and read and execute permission to others for <directory-name>","chmod 675 <directory-name>"
"provide read and write for user, all to group, and write and execute to others for <file-name>"," chmod 673 <file-name>"
"set permissions to read and write for owner, all for group members, and write and execute for others on <directory-name>","chmod 673 <directory-name>"
"assign read and write permission to user, all permission to group, and write and execute permission to others for <directory-name>","chmod 673 <directory-name>"
"set permissions to read and write for owner, all for group members, and all for others on <file-name>"," chmod 677 <file-name>"
"assign read and write permission to user, all permission to group, and all permission to others for <directory-name>","chmod 677 <directory-name>"
"grant read and write access for user, all for group, and all to others for <directory-name>","chmod 677 <directory-name>"
"grant read and write access for user, all for group, and none to others for <file-name>"," chmod 670 <file-name>"
"allow read and write for user, all for group, and none for others on directory/folder <directory-name>","chmod 670 <directory-name>"
"grant read and write access for user, all for group, and none to others for <directory-name>","chmod 670 <directory-name>"
"allow read and write for user, none for group, and read for others on file <file-name>"," chmod 604 <file-name>"
"set permissions to read and write for owner, none for group members, and read for others on <directory-name>","chmod 604 <directory-name>"
"assign read and write permission to user, none permission to group, and read permission to others for <directory-name>","chmod 604 <directory-name>"
"set permissions to read and write for owner, none for group members, and write for others on <file-name>"," chmod 602 <file-name>"
"allow read and write for user, none for group, and write for others on directory/folder <directory-name>","chmod 602 <directory-name>"
"provide read and write for user, none to group, and write to others for <directory-name>","chmod 602 <directory-name>"
"set permissions to read and write for owner, none for group members, and execute for others on <file-name>"," chmod 601 <file-name>"
"grant read and write access for user, none for group, and execute to others for <directory-name>","chmod 601 <directory-name>"
"allow read and write for user, none for group, and execute for others on directory/folder and its sub-contents <directory-name>","chmod 601 <directory-name>"
"allow read and write for user, none for group, and read and write for others on file <file-name>"," chmod 606 <file-name>"
"set permissions to read and write for owner, none for group members, and read and write for others on <directory-name>","chmod 606 <directory-name>"
"allow read and write for user, none for group, and read and write for others on directory/folder and its sub-contents <directory-name>","chmod 606 <directory-name>"
"assign read and write permission to user, none permission to group, and read and execute permission to others for <file-name>"," chmod 605 <file-name>"
"assign read and write permission to user, none permission to group, and read and execute permission to others for <directory-name>","chmod 605 <directory-name>"
"allow read and write for user, none for group, and read and execute for others on directory/folder and its sub-contents <directory-name>","chmod 605 <directory-name>"
"allow read and write for user, none for group, and write and execute for others on file <file-name>"," chmod 603 <file-name>"
"grant read and write access for user, none for group, and write and execute to others for <directory-name>","chmod 603 <directory-name>"
"allow read and write for user, none for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 603 <directory-name>"
"allow read and write for user, none for group, and all for others on file <file-name>"," chmod 607 <file-name>"
"provide read and write for user, none to group, and all to others for <directory-name>","chmod 607 <directory-name>"
"grant read and write access for user, none for group, and all to others for <directory-name>","chmod 607 <directory-name>"
"set permissions to read and write for owner, none for group members, and none for others on <file-name>"," chmod 600 <file-name>"
"assign read and write permission to user, none permission to group, and none permission to others for <directory-name>","chmod 600 <directory-name>"
"grant read and write access for user, none for group, and none to others for <directory-name>","chmod 600 <directory-name>"
"provide read and execute for user, read to group, and read to others for <file-name>"," chmod 544 <file-name>"
"allow read and execute for user, read for group, and read for others on directory/folder <directory-name>","chmod 544 <directory-name>"
"provide read and execute for user, read to group, and read to others for <directory-name>","chmod 544 <directory-name>"
"provide read and execute for user, read to group, and write to others for <file-name>"," chmod 542 <file-name>"
"allow read and execute for user, read for group, and write for others on directory/folder <directory-name>","chmod 542 <directory-name>"
"assign read and execute permission to user, read permission to group, and write permission to others for <directory-name>","chmod 542 <directory-name>"
"grant read and execute access for user, read for group, and execute to others for <file-name>"," chmod 541 <file-name>"
"grant read and execute access for user, read for group, and execute to others for <directory-name>","chmod 541 <directory-name>"
"grant read and execute access for user, read for group, and execute to others for <directory-name>","chmod 541 <directory-name>"
"set permissions to read and execute for owner, read for group members, and read and write for others on <file-name>"," chmod 546 <file-name>"
"provide read and execute for user, read to group, and read and write to others for <directory-name>","chmod 546 <directory-name>"
"allow read and execute for user, read for group, and read and write for others on directory/folder and its sub-contents <directory-name>","chmod 546 <directory-name>"
"assign read and execute permission to user, read permission to group, and read and execute permission to others for <file-name>"," chmod 545 <file-name>"
"assign read and execute permission to user, read permission to group, and read and execute permission to others for <directory-name>","chmod 545 <directory-name>"
"assign read and execute permission to user, read permission to group, and read and execute permission to others for <directory-name>","chmod 545 <directory-name>"
"set permissions to read and execute for owner, read for group members, and write and execute for others on <file-name>"," chmod 543 <file-name>"
"provide read and execute for user, read to group, and write and execute to others for <directory-name>","chmod 543 <directory-name>"
"assign read and execute permission to user, read permission to group, and write and execute permission to others for <directory-name>","chmod 543 <directory-name>"
"allow read and execute for user, read for group, and all for others on file <file-name>"," chmod 547 <file-name>"
"allow read and execute for user, read for group, and all for others on directory/folder <directory-name>","chmod 547 <directory-name>"
"grant read and execute access for user, read for group, and all to others for <directory-name>","chmod 547 <directory-name>"
"grant read and execute access for user, read for group, and none to others for <file-name>"," chmod 540 <file-name>"
"provide read and execute for user, read to group, and none to others for <directory-name>","chmod 540 <directory-name>"
"provide read and execute for user, read to group, and none to others for <directory-name>","chmod 540 <directory-name>"
"allow read and execute for user, write for group, and read for others on file <file-name>"," chmod 524 <file-name>"
"grant read and execute access for user, write for group, and read to others for <directory-name>","chmod 524 <directory-name>"
"allow read and execute for user, write for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 524 <directory-name>"
"provide read and execute for user, write to group, and write to others for <file-name>"," chmod 522 <file-name>"
"grant read and execute access for user, write for group, and write to others for <directory-name>","chmod 522 <directory-name>"
"set permissions to read and execute for owner, write for group members, and write for others on <directory-name>","chmod 522 <directory-name>"
"set permissions to read and execute for owner, write for group members, and execute for others on <file-name>"," chmod 521 <file-name>"
"provide read and execute for user, write to group, and execute to others for <directory-name>","chmod 521 <directory-name>"
"allow read and execute for user, write for group, and execute for others on directory/folder and its sub-contents <directory-name>","chmod 521 <directory-name>"
"grant read and execute access for user, write for group, and read and write to others for <file-name>"," chmod 526 <file-name>"
"set permissions to read and execute for owner, write for group members, and read and write for others on <directory-name>","chmod 526 <directory-name>"
"set permissions to read and execute for owner, write for group members, and read and write for others on <directory-name>","chmod 526 <directory-name>"
"assign read and execute permission to user, write permission to group, and read and execute permission to others for <file-name>"," chmod 525 <file-name>"
"set permissions to read and execute for owner, write for group members, and read and execute for others on <directory-name>","chmod 525 <directory-name>"
"grant read and execute access for user, write for group, and read and execute to others for <directory-name>","chmod 525 <directory-name>"
"provide read and execute for user, write to group, and write and execute to others for <file-name>"," chmod 523 <file-name>"
"allow read and execute for user, write for group, and write and execute for others on directory/folder <directory-name>","chmod 523 <directory-name>"
"provide read and execute for user, write to group, and write and execute to others for <directory-name>","chmod 523 <directory-name>"
"provide read and execute for user, write to group, and all to others for <file-name>"," chmod 527 <file-name>"
"grant read and execute access for user, write for group, and all to others for <directory-name>","chmod 527 <directory-name>"
"allow read and execute for user, write for group, and all for others on directory/folder and its sub-contents <directory-name>","chmod 527 <directory-name>"
"set permissions to read and execute for owner, write for group members, and none for others on <file-name>"," chmod 520 <file-name>"
"provide read and execute for user, write to group, and none to others for <directory-name>","chmod 520 <directory-name>"
"allow read and execute for user, write for group, and none for others on directory/folder and its sub-contents <directory-name>","chmod 520 <directory-name>"
"assign read and execute permission to user, execute permission to group, and read permission to others for <file-name>"," chmod 514 <file-name>"
"provide read and execute for user, execute to group, and read to others for <directory-name>","chmod 514 <directory-name>"
"grant read and execute access for user, execute for group, and read to others for <directory-name>","chmod 514 <directory-name>"
"set permissions to read and execute for owner, execute for group members, and write for others on <file-name>"," chmod 512 <file-name>"
"set permissions to read and execute for owner, execute for group members, and write for others on <directory-name>","chmod 512 <directory-name>"
"provide read and execute for user, execute to group, and write to others for <directory-name>","chmod 512 <directory-name>"
"allow read and execute for user, execute for group, and execute for others on file <file-name>"," chmod 511 <file-name>"
"provide read and execute for user, execute to group, and execute to others for <directory-name>","chmod 511 <directory-name>"
"assign read and execute permission to user, execute permission to group, and execute permission to others for <directory-name>","chmod 511 <directory-name>"
"assign read and execute permission to user, execute permission to group, and read and write permission to others for <file-name>"," chmod 516 <file-name>"
"provide read and execute for user, execute to group, and read and write to others for <directory-name>","chmod 516 <directory-name>"
"grant read and execute access for user, execute for group, and read and write to others for <directory-name>","chmod 516 <directory-name>"
"set permissions to read and execute for owner, execute for group members, and read and execute for others on <file-name>"," chmod 515 <file-name>"
"provide read and execute for user, execute to group, and read and execute to others for <directory-name>","chmod 515 <directory-name>"
"provide read and execute for user, execute to group, and read and execute to others for <directory-name>","chmod 515 <directory-name>"
"grant read and execute access for user, execute for group, and write and execute to others for <file-name>"," chmod 513 <file-name>"
"assign read and execute permission to user, execute permission to group, and write and execute permission to others for <directory-name>","chmod 513 <directory-name>"
"grant read and execute access for user, execute for group, and write and execute to others for <directory-name>","chmod 513 <directory-name>"
"provide read and execute for user, execute to group, and all to others for <file-name>"," chmod 517 <file-name>"
"grant read and execute access for user, execute for group, and all to others for <directory-name>","chmod 517 <directory-name>"
"assign read and execute permission to user, execute permission to group, and all permission to others for <directory-name>","chmod 517 <directory-name>"
"assign read and execute permission to user, execute permission to group, and none permission to others for <file-name>"," chmod 510 <file-name>"
"assign read and execute permission to user, execute permission to group, and none permission to others for <directory-name>","chmod 510 <directory-name>"
"grant read and execute access for user, execute for group, and none to others for <directory-name>","chmod 510 <directory-name>"
"allow read and execute for user, read and write for group, and read for others on file <file-name>"," chmod 564 <file-name>"
"grant read and execute access for user, read and write for group, and read to others for <directory-name>","chmod 564 <directory-name>"
"assign read and execute permission to user, read and write permission to group, and read permission to others for <directory-name>","chmod 564 <directory-name>"
"provide read and execute for user, read and write to group, and write to others for <file-name>"," chmod 562 <file-name>"
"set permissions to read and execute for owner, read and write for group members, and write for others on <directory-name>","chmod 562 <directory-name>"
"allow read and execute for user, read and write for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 562 <directory-name>"
"set permissions to read and execute for owner, read and write for group members, and execute for others on <file-name>"," chmod 561 <file-name>"
"assign read and execute permission to user, read and write permission to group, and execute permission to others for <directory-name>","chmod 561 <directory-name>"
"allow read and execute for user, read and write for group, and execute for others on directory/folder and its sub-contents <directory-name>","chmod 561 <directory-name>"
"provide read and execute for user, read and write to group, and read and write to others for <file-name>"," chmod 566 <file-name>"
"grant read and execute access for user, read and write for group, and read and write to others for <directory-name>","chmod 566 <directory-name>"
"provide read and execute for user, read and write to group, and read and write to others for <directory-name>","chmod 566 <directory-name>"
"provide read and execute for user, read and write to group, and read and execute to others for <file-name>"," chmod 565 <file-name>"
"assign read and execute permission to user, read and write permission to group, and read and execute permission to others for <directory-name>","chmod 565 <directory-name>"
"set permissions to read and execute for owner, read and write for group members, and read and execute for others on <directory-name>","chmod 565 <directory-name>"
"grant read and execute access for user, read and write for group, and write and execute to others for <file-name>"," chmod 563 <file-name>"
"set permissions to read and execute for owner, read and write for group members, and write and execute for others on <directory-name>","chmod 563 <directory-name>"
"grant read and execute access for user, read and write for group, and write and execute to others for <directory-name>","chmod 563 <directory-name>"
"provide read and execute for user, read and write to group, and all to others for <file-name>"," chmod 567 <file-name>"
"allow read and execute for user, read and write for group, and all for others on directory/folder <directory-name>","chmod 567 <directory-name>"
"set permissions to read and execute for owner, read and write for group members, and all for others on <directory-name>","chmod 567 <directory-name>"
"set permissions to read and execute for owner, read and write for group members, and none for others on <file-name>"," chmod 560 <file-name>"
"grant read and execute access for user, read and write for group, and none to others for <directory-name>","chmod 560 <directory-name>"
"allow read and execute for user, read and write for group, and none for others on directory/folder and its sub-contents <directory-name>","chmod 560 <directory-name>"
"set permissions to read and execute for owner, read and execute for group members, and read for others on <file-name>"," chmod 554 <file-name>"
"set permissions to read and execute for owner, read and execute for group members, and read for others on <directory-name>","chmod 554 <directory-name>"
"set permissions to read and execute for owner, read and execute for group members, and read for others on <directory-name>","chmod 554 <directory-name>"
"grant read and execute access for user, read and execute for group, and write to others for <file-name>"," chmod 552 <file-name>"
"provide read and execute for user, read and execute to group, and write to others for <directory-name>","chmod 552 <directory-name>"
"provide read and execute for user, read and execute to group, and write to others for <directory-name>","chmod 552 <directory-name>"
"grant read and execute access for user, read and execute for group, and execute to others for <file-name>"," chmod 551 <file-name>"
"provide read and execute for user, read and execute to group, and execute to others for <directory-name>","chmod 551 <directory-name>"
"set permissions to read and execute for owner, read and execute for group members, and execute for others on <directory-name>","chmod 551 <directory-name>"
"set permissions to read and execute for owner, read and execute for group members, and read and write for others on <file-name>"," chmod 556 <file-name>"
"provide read and execute for user, read and execute to group, and read and write to others for <directory-name>","chmod 556 <directory-name>"
"grant read and execute access for user, read and execute for group, and read and write to others for <directory-name>","chmod 556 <directory-name>"
"grant read and execute access for user, read and execute for group, and read and execute to others for <file-name>"," chmod 555 <file-name>"
"set permissions to read and execute for owner, read and execute for group members, and read and execute for others on <directory-name>","chmod 555 <directory-name>"
"set permissions to read and execute for owner, read and execute for group members, and read and execute for others on <directory-name>","chmod 555 <directory-name>"
"assign read and execute permission to user, read and execute permission to group, and write and execute permission to others for <file-name>"," chmod 553 <file-name>"
"grant read and execute access for user, read and execute for group, and write and execute to others for <directory-name>","chmod 553 <directory-name>"
"provide read and execute for user, read and execute to group, and write and execute to others for <directory-name>","chmod 553 <directory-name>"
"assign read and execute permission to user, read and execute permission to group, and all permission to others for <file-name>"," chmod 557 <file-name>"
"grant read and execute access for user, read and execute for group, and all to others for <directory-name>","chmod 557 <directory-name>"
"assign read and execute permission to user, read and execute permission to group, and all permission to others for <directory-name>","chmod 557 <directory-name>"
"grant read and execute access for user, read and execute for group, and none to others for <file-name>"," chmod 550 <file-name>"
"assign read and execute permission to user, read and execute permission to group, and none permission to others for <directory-name>","chmod 550 <directory-name>"
"allow read and execute for user, read and execute for group, and none for others on directory/folder and its sub-contents <directory-name>","chmod 550 <directory-name>"
"assign read and execute permission to user, write and execute permission to group, and read permission to others for <file-name>"," chmod 534 <file-name>"
"grant read and execute access for user, write and execute for group, and read to others for <directory-name>","chmod 534 <directory-name>"
"provide read and execute for user, write and execute to group, and read to others for <directory-name>","chmod 534 <directory-name>"
"assign read and execute permission to user, write and execute permission to group, and write permission to others for <file-name>"," chmod 532 <file-name>"
"set permissions to read and execute for owner, write and execute for group members, and write for others on <directory-name>","chmod 532 <directory-name>"
"assign read and execute permission to user, write and execute permission to group, and write permission to others for <directory-name>","chmod 532 <directory-name>"
"set permissions to read and execute for owner, write and execute for group members, and execute for others on <file-name>"," chmod 531 <file-name>"
"assign read and execute permission to user, write and execute permission to group, and execute permission to others for <directory-name>","chmod 531 <directory-name>"
"assign read and execute permission to user, write and execute permission to group, and execute permission to others for <directory-name>","chmod 531 <directory-name>"
"set permissions to read and execute for owner, write and execute for group members, and read and write for others on <file-name>"," chmod 536 <file-name>"
"set permissions to read and execute for owner, write and execute for group members, and read and write for others on <directory-name>","chmod 536 <directory-name>"
"assign read and execute permission to user, write and execute permission to group, and read and write permission to others for <directory-name>","chmod 536 <directory-name>"
"grant read and execute access for user, write and execute for group, and read and execute to others for <file-name>"," chmod 535 <file-name>"
"provide read and execute for user, write and execute to group, and read and execute to others for <directory-name>","chmod 535 <directory-name>"
"set permissions to read and execute for owner, write and execute for group members, and read and execute for others on <directory-name>","chmod 535 <directory-name>"
"allow read and execute for user, write and execute for group, and write and execute for others on file <file-name>"," chmod 533 <file-name>"
"set permissions to read and execute for owner, write and execute for group members, and write and execute for others on <directory-name>","chmod 533 <directory-name>"
"allow read and execute for user, write and execute for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 533 <directory-name>"
"set permissions to read and execute for owner, write and execute for group members, and all for others on <file-name>"," chmod 537 <file-name>"
"grant read and execute access for user, write and execute for group, and all to others for <directory-name>","chmod 537 <directory-name>"
"grant read and execute access for user, write and execute for group, and all to others for <directory-name>","chmod 537 <directory-name>"
"grant read and execute access for user, write and execute for group, and none to others for <file-name>"," chmod 530 <file-name>"
"grant read and execute access for user, write and execute for group, and none to others for <directory-name>","chmod 530 <directory-name>"
"set permissions to read and execute for owner, write and execute for group members, and none for others on <directory-name>","chmod 530 <directory-name>"
"assign read and execute permission to user, all permission to group, and read permission to others for <file-name>"," chmod 574 <file-name>"
"grant read and execute access for user, all for group, and read to others for <directory-name>","chmod 574 <directory-name>"
"set permissions to read and execute for owner, all for group members, and read for others on <directory-name>","chmod 574 <directory-name>"
"set permissions to read and execute for owner, all for group members, and write for others on <file-name>"," chmod 572 <file-name>"
"grant read and execute access for user, all for group, and write to others for <directory-name>","chmod 572 <directory-name>"
"allow read and execute for user, all for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 572 <directory-name>"
"assign read and execute permission to user, all permission to group, and execute permission to others for <file-name>"," chmod 571 <file-name>"
"provide read and execute for user, all to group, and execute to others for <directory-name>","chmod 571 <directory-name>"
"assign read and execute permission to user, all permission to group, and execute permission to others for <directory-name>","chmod 571 <directory-name>"
"assign read and execute permission to user, all permission to group, and read and write permission to others for <file-name>"," chmod 576 <file-name>"
"assign read and execute permission to user, all permission to group, and read and write permission to others for <directory-name>","chmod 576 <directory-name>"
"assign read and execute permission to user, all permission to group, and read and write permission to others for <directory-name>","chmod 576 <directory-name>"
"provide read and execute for user, all to group, and read and execute to others for <file-name>"," chmod 575 <file-name>"
"set permissions to read and execute for owner, all for group members, and read and execute for others on <directory-name>","chmod 575 <directory-name>"
"grant read and execute access for user, all for group, and read and execute to others for <directory-name>","chmod 575 <directory-name>"
"provide read and execute for user, all to group, and write and execute to others for <file-name>"," chmod 573 <file-name>"
"grant read and execute access for user, all for group, and write and execute to others for <directory-name>","chmod 573 <directory-name>"
"allow read and execute for user, all for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 573 <directory-name>"
"set permissions to read and execute for owner, all for group members, and all for others on <file-name>"," chmod 577 <file-name>"
"set permissions to read and execute for owner, all for group members, and all for others on <directory-name>","chmod 577 <directory-name>"
"set permissions to read and execute for owner, all for group members, and all for others on <directory-name>","chmod 577 <directory-name>"
"set permissions to read and execute for owner, all for group members, and none for others on <file-name>"," chmod 570 <file-name>"
"grant read and execute access for user, all for group, and none to others for <directory-name>","chmod 570 <directory-name>"
"provide read and execute for user, all to group, and none to others for <directory-name>","chmod 570 <directory-name>"
"provide read and execute for user, none to group, and read to others for <file-name>"," chmod 504 <file-name>"
"set permissions to read and execute for owner, none for group members, and read for others on <directory-name>","chmod 504 <directory-name>"
"grant read and execute access for user, none for group, and read to others for <directory-name>","chmod 504 <directory-name>"
"assign read and execute permission to user, none permission to group, and write permission to others for <file-name>"," chmod 502 <file-name>"
"provide read and execute for user, none to group, and write to others for <directory-name>","chmod 502 <directory-name>"
"allow read and execute for user, none for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 502 <directory-name>"
"grant read and execute access for user, none for group, and execute to others for <file-name>"," chmod 501 <file-name>"
"assign read and execute permission to user, none permission to group, and execute permission to others for <directory-name>","chmod 501 <directory-name>"
"set permissions to read and execute for owner, none for group members, and execute for others on <directory-name>","chmod 501 <directory-name>"
"provide read and execute for user, none to group, and read and write to others for <file-name>"," chmod 506 <file-name>"
"assign read and execute permission to user, none permission to group, and read and write permission to others for <directory-name>","chmod 506 <directory-name>"
"grant read and execute access for user, none for group, and read and write to others for <directory-name>","chmod 506 <directory-name>"
"set permissions to read and execute for owner, none for group members, and read and execute for others on <file-name>"," chmod 505 <file-name>"
"grant read and execute access for user, none for group, and read and execute to others for <directory-name>","chmod 505 <directory-name>"
"grant read and execute access for user, none for group, and read and execute to others for <directory-name>","chmod 505 <directory-name>"
"grant read and execute access for user, none for group, and write and execute to others for <file-name>"," chmod 503 <file-name>"
"provide read and execute for user, none to group, and write and execute to others for <directory-name>","chmod 503 <directory-name>"
"grant read and execute access for user, none for group, and write and execute to others for <directory-name>","chmod 503 <directory-name>"
"grant read and execute access for user, none for group, and all to others for <file-name>"," chmod 507 <file-name>"
"grant read and execute access for user, none for group, and all to others for <directory-name>","chmod 507 <directory-name>"
"provide read and execute for user, none to group, and all to others for <directory-name>","chmod 507 <directory-name>"
"assign read and execute permission to user, none permission to group, and none permission to others for <file-name>"," chmod 500 <file-name>"
"allow read and execute for user, none for group, and none for others on directory/folder <directory-name>","chmod 500 <directory-name>"
"grant read and execute access for user, none for group, and none to others for <directory-name>","chmod 500 <directory-name>"
"allow write and execute for user, read for group, and read for others on file <file-name>"," chmod 344 <file-name>"
"provide write and execute for user, read to group, and read to others for <directory-name>","chmod 344 <directory-name>"
"set permissions to write and execute for owner, read for group members, and read for others on <directory-name>","chmod 344 <directory-name>"
"assign write and execute permission to user, read permission to group, and write permission to others for <file-name>"," chmod 342 <file-name>"
"allow write and execute for user, read for group, and write for others on directory/folder <directory-name>","chmod 342 <directory-name>"
"set permissions to write and execute for owner, read for group members, and write for others on <directory-name>","chmod 342 <directory-name>"
"assign write and execute permission to user, read permission to group, and execute permission to others for <file-name>"," chmod 341 <file-name>"
"provide write and execute for user, read to group, and execute to others for <directory-name>","chmod 341 <directory-name>"
"grant write and execute access for user, read for group, and execute to others for <directory-name>","chmod 341 <directory-name>"
"assign write and execute permission to user, read permission to group, and read and write permission to others for <file-name>"," chmod 346 <file-name>"
"set permissions to write and execute for owner, read for group members, and read and write for others on <directory-name>","chmod 346 <directory-name>"
"grant write and execute access for user, read for group, and read and write to others for <directory-name>","chmod 346 <directory-name>"
"set permissions to write and execute for owner, read for group members, and read and execute for others on <file-name>"," chmod 345 <file-name>"
"allow write and execute for user, read for group, and read and execute for others on directory/folder <directory-name>","chmod 345 <directory-name>"
"set permissions to write and execute for owner, read for group members, and read and execute for others on <directory-name>","chmod 345 <directory-name>"
"set permissions to write and execute for owner, read for group members, and write and execute for others on <file-name>"," chmod 343 <file-name>"
"provide write and execute for user, read to group, and write and execute to others for <directory-name>","chmod 343 <directory-name>"
"grant write and execute access for user, read for group, and write and execute to others for <directory-name>","chmod 343 <directory-name>"
"set permissions to write and execute for owner, read for group members, and all for others on <file-name>"," chmod 347 <file-name>"
"assign write and execute permission to user, read permission to group, and all permission to others for <directory-name>","chmod 347 <directory-name>"
"allow write and execute for user, read for group, and all for others on directory/folder and its sub-contents <directory-name>","chmod 347 <directory-name>"
"grant write and execute access for user, read for group, and none to others for <file-name>"," chmod 340 <file-name>"
"provide write and execute for user, read to group, and none to others for <directory-name>","chmod 340 <directory-name>"
"assign write and execute permission to user, read permission to group, and none permission to others for <directory-name>","chmod 340 <directory-name>"
"grant write and execute access for user, write for group, and read to others for <file-name>"," chmod 324 <file-name>"
"provide write and execute for user, write to group, and read to others for <directory-name>","chmod 324 <directory-name>"
"assign write and execute permission to user, write permission to group, and read permission to others for <directory-name>","chmod 324 <directory-name>"
"set permissions to write and execute for owner, write for group members, and write for others on <file-name>"," chmod 322 <file-name>"
"grant write and execute access for user, write for group, and write to others for <directory-name>","chmod 322 <directory-name>"
"allow write and execute for user, write for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 322 <directory-name>"
"assign write and execute permission to user, write permission to group, and execute permission to others for <file-name>"," chmod 321 <file-name>"
"allow write and execute for user, write for group, and execute for others on directory/folder <directory-name>","chmod 321 <directory-name>"
"assign write and execute permission to user, write permission to group, and execute permission to others for <directory-name>","chmod 321 <directory-name>"
"grant write and execute access for user, write for group, and read and write to others for <file-name>"," chmod 326 <file-name>"
"allow write and execute for user, write for group, and read and write for others on directory/folder <directory-name>","chmod 326 <directory-name>"
"provide write and execute for user, write to group, and read and write to others for <directory-name>","chmod 326 <directory-name>"
"grant write and execute access for user, write for group, and read and execute to others for <file-name>"," chmod 325 <file-name>"
"provide write and execute for user, write to group, and read and execute to others for <directory-name>","chmod 325 <directory-name>"
"grant write and execute access for user, write for group, and read and execute to others for <directory-name>","chmod 325 <directory-name>"
"assign write and execute permission to user, write permission to group, and write and execute permission to others for <file-name>"," chmod 323 <file-name>"
"grant write and execute access for user, write for group, and write and execute to others for <directory-name>","chmod 323 <directory-name>"
"assign write and execute permission to user, write permission to group, and write and execute permission to others for <directory-name>","chmod 323 <directory-name>"
"allow write and execute for user, write for group, and all for others on file <file-name>"," chmod 327 <file-name>"
"grant write and execute access for user, write for group, and all to others for <directory-name>","chmod 327 <directory-name>"
"allow write and execute for user, write for group, and all for others on directory/folder and its sub-contents <directory-name>","chmod 327 <directory-name>"
